Opzione,Valori Possibili,Costo Opzione,Macchine Compatibili,Vincoli,Posizioni Ammesse,Tipo Opzione
Marposs,"Cricche 1 sonda,Cricche  2 sonde,Cricche  4 sonde","{""Cricche 1 sonda"": ""$Mar1S"", ""Cricche  2 sonde"": ""$Mar2S""}","MCV1,MCV3,MCV4","{""MCV1"": [""Cricche 1 sonda"", ""Cricche  2 sonde""], ""MCV3"": [""Cricche 1 sonda"", ""Cricche  2 sonde""], ""MCV4"": [""Cricche 1 sonda"", ""Cricche  2 sonde"", ""Cricche  4 sonde""]}","{""MCV1"": [""1"", ""2""], ""MCV3"": [""1"", ""2""], ""MCV4"": [""1"", ""2""]}",Stazione
IBG,"Cricche 1 sonda,Cricche  2 sonde,Cricche  4 sonde, Struttura Sonda, Struttura Forca, Struttura Bobina",{},"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Struttura Sonda""], ""MCV1"": [""Cricche 1 sonda"", ""Cricche  2 sonde"", ""Struttura Sonda"", ""Struttura Forca""], ""MCV2"": [""Struttura Bobina""], ""MCV2XTR"": [""Struttura Bobina""], ""MCV3"": [""Cricche 1 sonda"", ""Cricche  2 sonde"", ""Struttura Sonda"", ""Struttura Forca"", ""Struttura Bobina""], ""MCV4"": [""Cricche 1 sonda"", ""Cricche  2 sonde"", ""Cricche  4 sonde"", ""Struttura Sonda"", ""Struttura Forca""], ""MCV5"": [""Struttura Forca""], ""MCV6"": [""Struttura Forca""]}","{""MCV0"": [""2""], ""MCV1"": [""1"", ""2"", ""3""], ""MCV3"": [""1"", ""2"", ""3""], ""MCV4"": [""1"", ""2"", ""3""], ""MCV5"": [""3""], ""MCV6"": [""3""]}",Stazione
Doppio passo,"Si, No",{},MCV4,"{""MCV4"": [""Si"", ""No""]}",{},Globale
Controllo Impronta,"Sopra, Sotto",{},"MCV1,MCV3,MCV4","{""MCV1"": [""Sotto""], ""MCV3"": [""Sotto""]}","{""MCV1"": [""1"", ""2"", ""4""], ""MCV3"": [""1"", ""2"", ""5""], ""MCV4"": [""1"", ""2"", ""4"", ""5""]}",Stazione
Stazione rotazione,"Motore brusheless, Motore step ",{},"MCV0,MCV1,MCV3,MCV4","{""MCV0"": [""Motore brusheless""], ""MCV1"": [""Motore brusheless"", ""Motore step""], ""MCV3"": [""Motore brusheless"", ""Motore step""], ""MCV4"": [""Motore brusheless"", ""Motore step""]}","{""MCV0"": [""4""], ""MCV1"": [""1"", ""2"", ""5""], ""MCV3"": [""1"", ""2"", ""5""], ""MCV4"": [""1"", ""2"", ""4"", ""5""]}",Stazione
Side Camera,"1 telecamera, 1 telecamera + 360°, 2 telecamera, 2 telecamere + 360°, 3 telecamere, 3 telecamere +360°",{},"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""1 telecamera"", ""1 telecamera + 360°""], ""MCV1"": [""1 telecamera"", ""1 telecamera + 360°"", ""2 telecamera"", ""2 telecamere + 360°""], ""MCV2"": [""1 telecamera"", ""2 telecamera""], ""MCV2XTR"": [""1 telecamera"", ""2 telecamera""], ""MCV3"": [""1 telecamera"", ""1 telecamera + 360°"", ""2 telecamera"", ""2 telecamere + 360°"", ""3 telecamere"", ""3 telecamere +360°""], ""MCV4"": [""1 telecamera"", ""1 telecamera + 360°"", ""2 telecamera"", ""2 telecamere + 360°""], ""MCV5"": [""1 telecamera"", ""2 telecamera""], ""MCV6"": [""1 telecamera"", ""2 telecamera""]}","{""MCV0"": [""4""], ""MCV1"": [""5""], ""MCV2"": [""1"", ""2""], ""MCV2XTR"": [""1"", ""2""], ""MCV3"": [""5""], ""MCV4"": [""4"", ""5""], ""MCV5"": [""3"", ""4""], ""MCV6"": [""3"", ""4""]}",Stazione
Top Camera,"Dimensionale, superficiale, dimensionale sotto, superficiale sotto",{},"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""superficiale""], ""MCV1"": [""superficiale"", ""superficiale sotto""], ""MCV3"": [""superficiale"", ""superficiale sotto""], ""MCV4"": [""superficiale""], ""MCV5"": [""Dimensionale"", ""superficiale"", ""superficiale sotto""], ""MCV6"": [""Dimensionale"", ""superficiale"", ""dimensionale sotto"", ""superficiale sotto""]}","{""MCV0"": [""1"", ""2"", ""3""], ""MCV1"": [""4""], ""MCV2"": [""1"", ""2""], ""MCV2XTR"": [""1"", ""2""], ""MCV3"": [""5""], ""MCV4"": [""4"", ""5""], ""MCV5"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6""], ""MCV6"": [""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]}",Stazione
Stazione inferiore,"Motorizzata, controllo rotazione",{},"MCV1,MCV3,MCV4","{""MCV1"": [""Motorizzata"", ""controllo rotazione""], ""MCV3"": [""Motorizzata"", ""controllo rotazione""], ""MCV4"": [""controllo rotazione""]}","{""MCV1"": [""4""], ""MCV3"": [""5""], ""MCV4"": [""4"", ""5""]}",Stazione
Vibroalimentatore,"Semplice, Combinato",{},"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Semplice""], ""MCV1"": [""Semplice"", ""Combinato""], ""MCV2"": [""Semplice""], ""MCV2XTR"": [""Semplice""], ""MCV3"": [""Semplice"", ""Combinato""], ""MCV4"": [""Semplice"", ""Combinato""], ""MCV5"": [""Semplice""], ""MCV6"": [""Semplice"", ""Combinato""]}",{},Globale
Uscita,"canali standard, canali con flap, nastro",{},"MCV0,MCV1,MCV3,MCV4,MCV5,MCV6","{""MCV0"": [""Standard"", ""Con flap""], ""MCV1"": [""Standard"", ""Con flap"", ""Nastro""], ""MCV3"": [""Standard"", ""Con flap"", ""Nastro""], ""MCV4"": [""Standard"", ""Con flap"", ""Nastro""], ""MCV5"": [""Standard"", ""Con flap"", ""Nastro""], ""MCV6"": [""Standard"", ""Con flap"", ""Nastro""]}",{},Uscita
Telecamera lineare,"Cognex, Dimac",{},"MCV0,MCV1,MCV2,MCV2XTR,MCV3,MCV4,MCV5,MCV6","{""MCV1"": [""Cognex"", ""Dimac""], ""MCV3"": [""Cognex"", ""Dimac""], ""MCV4"": [""Cognex"", ""Dimac""]}","{""MCV1"": [""2"", ""3"", ""4""], ""MCV3"": [""3"", ""4""], ""MCV4"": [""3"", ""4""]}",Stazione
